Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK,Founded
LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",59478,1876
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",1707925,1879
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",1335258,2010
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",1065696,1998
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",936468,1995
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",60086,1959
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",60667,1904/1946/1959
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",1397187,1998
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",1489393,2007
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",36270,1856
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",1510295,2009 (1887)
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",1278021,2000
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1048286,1927
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",62709,1905
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",916076,1993
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",62996,1929
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",1141391,1966
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",891103,1986
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",63754,1889
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",63908,1940
MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas",927653,1833
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",1613103,1949
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",310158,1891
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",1326801,2004
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",1099219,1868
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",1037646,1945
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",789570,1986
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",827054,1989
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",723125,1978
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",789019,1975
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",912595,1977
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",1682852,2010
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",851968,1878
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",1179929,1980
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",24545,"2005 (Molson 1786, Coors 1873)"
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1103982,2012
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",1280452,1997
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",865752,2012 (1935)
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",1059556,1909
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",895421,1935
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",1285785,2004 (1865 / 1909)
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",68505,1928 (2011)
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",1408198,1969
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",1120193,1971
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1002047,1992
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",1065280,1997
NEM,Newmont,Materials,Gold,"Denver, Colorado",1164727,1921
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",1564708,2013 (News Corporation 1980)
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",1564708,2013 (News Corporation 1980)
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",753308,1984 (1925)
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",320187,1964
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",1111711,1912
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",72331,1935
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,"Atlanta, Georgia",702165,1881/1894 (1980)
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",73124,1889
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1133421,"1994 (Northrop 1939, Grumman 1930)"
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1513761,2011 (1966)
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",1013871,1992
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",73309,1940
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",1045810,1993
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",906163,1980
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",1413447,1953
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",898173,1957
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",797468,1920
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",878927,1934
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",29989,1986
ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",1097864,1999
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1039684,1906
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",1341439,1977
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",1781335,"2020 (1853, United Technologies spinoff)"
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",75362,1905
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",75677,1959
PLTR,Palantir Technologies,Information Technology,Internet Services & Infrastructure,"Denver, Colorado",1321655,2003
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",1327567,2005
PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",813828,2019 (Paramount Pictures 1912)
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",76334,1917
PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",723531,1971
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",1590955,1998
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",1633917,1998
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",77360,1966
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",77476,1898
PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",78003,1849
PCG,PG&E Corporation,Utilities,Multi-Utilities,"Oakland, California",1004980,1905
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",1413329,2008 (1847)
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",1534701,2012 (1917)
PNW,Pinnacle West,Utilities,Multi-Utilities,"Phoenix, Arizona",764622,1985
PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",713676,1845
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",945841,1993
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",79879,1883
PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",922224,1920
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",1126328,1879
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",80424,1837
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",80661,1937
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",1045609,1983
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",1137774,1875
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",788784,1903
PTC,PTC Inc.,Information Technology,Application Software,"Boston, Massachusetts",857005,1985
PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",1393311,1972
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",822416,1956
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",1050915,1997
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",804328,1985
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",1022079,1967
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",1037038,1967
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",720005,1962
RTX,RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts",101829,1922
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",726728,1969
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",910606,1963
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",872589,1988
RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",1281761,1971
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",1060391,1998 (1981)
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",943819,1989
RVTY,Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts",31791,1937
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",1024478,1903
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",84839,1948
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",882835,1981
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",745732,1982
